filename,feature_t,SAD_t,seg_t,KBM_t,BKCV_t,clustering_t,reseg_t,total,duration,feature_RF,SAD_RF,seg_RF,KBM_RF,BKCV_RF,clustering_RF,reseg_RFRF
test_1.wav,0.09943,0.06252,0.00000,0.48436,0.51565,0.07811,0.00000,1.24006,60.00000,0.00166,0.00104,0.00000,0.00807,0.00859,0.00130,0.00000,0.02067
test_10.wav,0.99656,0.64063,0.01563,0.46875,4.73542,0.75016,0.00000,7.60715,600.00000,0.00166,0.00107,0.00003,0.00078,0.00789,0.00125,0.00000,0.01268
test_11.wav,1.09172,0.73466,0.03125,0.51565,5.83146,0.85939,0.00000,9.06413,660.00000,0.00165,0.00111,0.00005,0.00078,0.00884,0.00130,0.00000,0.01373
test_12.wav,1.15799,0.76574,0.03125,0.56253,7.23536,0.98447,0.00000,10.73734,720.00000,0.00161,0.00106,0.00004,0.00078,0.01005,0.00137,0.00000,0.01491
test_13.wav,1.30150,0.84375,0.03125,0.60940,8.37610,1.12539,0.00000,12.28740,780.00000,0.00167,0.00108,0.00004,0.00078,0.01074,0.00144,0.00000,0.01575
test_14.wav,1.38466,0.92189,0.03123,0.65674,9.71095,1.25029,0.00000,13.95576,840.00000,0.00165,0.00110,0.00004,0.00078,0.01156,0.00149,0.00000,0.01661
test_15.wav,1.50002,0.98474,0.03125,0.70316,11.09651,1.43752,0.00000,15.75320,900.00000,0.00167,0.00109,0.00003,0.00078,0.01233,0.00160,0.00000,0.01750
test_16.wav,1.59377,1.04732,0.04689,0.76562,12.64817,1.51566,0.00000,17.61743,960.00000,0.00166,0.00109,0.00005,0.00080,0.01318,0.00158,0.00000,0.01835
test_17.wav,1.71875,1.09892,0.04690,0.79687,14.06612,1.68752,0.00000,19.41507,1020.00000,0.00169,0.00108,0.00005,0.00078,0.01379,0.00165,0.00000,0.01903
test_18.wav,1.79701,1.17206,0.03127,0.85936,15.82598,1.82815,0.00000,21.51383,1080.00000,0.00166,0.00109,0.00003,0.00080,0.01465,0.00169,0.00000,0.01992
test_19.wav,1.90825,1.23499,0.06252,0.90646,17.46112,2.03175,0.00000,23.60510,1140.00000,0.00167,0.00108,0.00005,0.00080,0.01532,0.00178,0.00000,0.02071
test_2.wav,0.21790,0.12502,0.01562,0.43751,0.96958,0.15625,0.00000,1.92188,120.00000,0.00182,0.00104,0.00013,0.00365,0.00808,0.00130,0.00000,0.01602
test_20.wav,2.19262,1.32825,0.06250,1.00040,19.74926,2.17229,0.00000,26.50533,1200.00000,0.00183,0.00111,0.00005,0.00083,0.01646,0.00181,0.00000,0.02209
test_21.wav,2.12567,1.35958,0.06252,0.98437,21.30558,2.73486,0.00000,28.57258,1260.00000,0.00169,0.00108,0.00005,0.00078,0.01691,0.00217,0.00000,0.02268
test_22.wav,2.46624,1.43777,0.04685,1.04725,23.38783,2.98489,0.00000,31.37083,1320.00000,0.00187,0.00109,0.00004,0.00079,0.01772,0.00226,0.00000,0.02377
