filename,feature_t,SAD_t,seg_t,KBM_t,BKCV_t,clustering_t,reseg_t,total,duration,feature_RF,SAD_RF,seg_RF,KBM_RF,BKCV_RF,clustering_RF,reseg_RFRF
test_1.wav,0.10596,0.07813,0.00000,0.46875,0.53126,0.07813,0.00000,1.26222,60.00000,0.00177,0.00130,0.00000,0.00781,0.00885,0.00130,0.00000,0.02104
test_10.wav,1.01566,0.67186,0.03125,0.45313,4.78387,0.76564,0.00000,7.72140,600.00000,0.00169,0.00112,0.00005,0.00076,0.00797,0.00128,0.00000,0.01287
test_11.wav,1.07901,0.71875,0.03125,0.53128,5.89167,0.87524,0.00000,9.12721,660.00000,0.00163,0.00109,0.00005,0.00080,0.00893,0.00133,0.00000,0.01383
test_12.wav,1.22177,0.81250,0.03125,0.56252,7.31848,0.98439,0.00000,10.93091,720.00000,0.00170,0.00113,0.00004,0.00078,0.01016,0.00137,0.00000,0.01518
test_13.wav,1.28149,0.84376,0.03125,0.60940,8.42568,1.12503,0.00000,12.31661,780.00000,0.00164,0.00108,0.00004,0.00078,0.01080,0.00144,0.00000,0.01579
test_14.wav,1.38537,0.90643,0.03125,0.67188,9.72116,1.25039,0.00000,13.96648,840.00000,0.00165,0.00108,0.00004,0.00080,0.01157,0.00149,0.00000,0.01663
test_15.wav,1.49052,0.96897,0.04689,0.70312,11.14193,1.45333,0.00000,15.80475,900.00000,0.00166,0.00108,0.00005,0.00078,0.01238,0.00161,0.00000,0.01756
test_16.wav,1.60242,1.04697,0.04688,0.76564,12.69545,1.54703,0.00000,17.70439,960.00000,0.00167,0.00109,0.00005,0.00080,0.01322,0.00161,0.00000,0.01844
test_17.wav,1.69028,1.09413,0.04688,0.81289,14.21891,1.68754,0.00000,19.55062,1020.00000,0.00166,0.00107,0.00005,0.00080,0.01394,0.00165,0.00000,0.01917
test_18.wav,1.81295,1.17202,0.04690,0.85939,15.82411,1.84429,0.00000,21.55966,1080.00000,0.00168,0.00109,0.00004,0.00080,0.01465,0.00171,0.00000,0.01996
test_19.wav,1.92208,1.25041,0.04688,0.90628,17.50893,2.03137,0.00000,23.66594,1140.00000,0.00169,0.00110,0.00004,0.00079,0.01536,0.00178,0.00000,0.02076
test_2.wav,0.20313,0.14063,0.00000,0.45313,0.95314,0.17198,0.00000,1.92200,120.00000,0.00169,0.00117,0.00000,0.00378,0.00794,0.00143,0.00000,0.01602
test_20.wav,2.10972,1.43763,0.06250,1.03125,19.77720,2.40650,0.00000,26.82479,1200.00000,0.00176,0.00120,0.00005,0.00086,0.01648,0.00201,0.00000,0.02235
test_21.wav,2.10756,1.35937,0.06252,1.00067,21.39760,2.73468,0.00000,28.66240,1260.00000,0.00167,0.00108,0.00005,0.00079,0.01698,0.00217,0.00000,0.02275
test_22.wav,2.23346,1.42189,0.06250,1.18795,23.74183,2.95369,0.00000,31.60132,1320.00000,0.00169,0.00108,0.00005,0.00090,0.01799,0.00224,0.00000,0.02394
test_23.wav,2.53398,1.51585,0.06250,1.07816,25.38742,3.01595,0.00000,33.59387,1380.00000,0.00184,0.00110,0.00005,0.00078,0.01840,0.00219,0.00000,0.02434
test_24.wav,2.41953,1.65627,0.09375,1.17215,27.31106,3.39139,0.00000,36.04415,1440.00000,0.00168,0.00115,0.00007,0.00081,0.01897,0.00236,0.00000,0.02503
test_25.wav,2.14365,1.65627,0.06268,1.20314,30.15690,3.59499,0.00000,38.81763,1500.00000,0.00143,0.00110,0.00004,0.00080,0.02010,0.00240,0.00000,0.02588
test_26.wav,2.20382,1.68778,0.10938,1.40629,32.51401,3.85983,0.00000,41.78110,1560.00000,0.00141,0.00108,0.00007,0.00090,0.02084,0.00247,0.00000,0.02678
test_27.wav,2.28146,1.76594,0.07814,1.29689,35.42712,4.06312,0.00000,44.91267,1620.00000,0.00141,0.00109,0.00005,0.00080,0.02187,0.00251,0.00000,0.02772
test_28.wav,2.35987,1.95340,0.09375,1.48454,38.08457,4.29716,0.00000,48.27329,1680.00000,0.00140,0.00116,0.00006,0.00088,0.02267,0.00256,0.00000,0.02873
test_29.wav,2.46904,1.93761,0.07813,1.54712,40.47138,4.76636,0.00000,51.26963,1740.00000,0.00142,0.00111,0.00004,0.00089,0.02326,0.00274,0.00000,0.02947
test_3.wav,0.25725,0.20314,0.01562,0.42188,1.53240,0.28125,0.00000,2.71155,180.00000,0.00143,0.00113,0.00009,0.00234,0.00851,0.00156,0.00000,0.01506
test_30.wav,2.61221,2.28185,0.12500,1.48510,43.72456,4.92293,0.00000,55.15166,1800.00000,0.00145,0.00127,0.00007,0.00083,0.02429,0.00273,0.00000,0.03064
test_4.wav,0.34911,0.28123,0.01564,0.42188,1.92219,0.28125,0.00000,3.27131,240.00000,0.00145,0.00117,0.00007,0.00176,0.00801,0.00117,0.00000,0.01363
test_5.wav,0.45311,0.35938,0.01562,0.45327,2.48578,0.37500,0.00000,4.14216,300.00000,0.00151,0.00120,0.00005,0.00151,0.00829,0.00125,0.00000,0.01381
test_6.wav,0.53124,0.42188,0.00000,0.48461,2.92287,0.45313,0.00000,4.81373,360.00000,0.00148,0.00117,0.00000,0.00135,0.00812,0.00126,0.00000,0.01337
test_7.wav,0.61468,0.48438,0.03125,0.43752,3.48507,0.50001,0.00000,5.55291,420.00000,0.00146,0.00115,0.00007,0.00104,0.00830,0.00119,0.00000,0.01322
test_8.wav,0.70313,0.54725,0.01562,0.43751,3.92309,0.67303,0.00000,6.29963,480.00000,0.00146,0.00114,0.00003,0.00091,0.00817,0.00140,0.00000,0.01312
test_9.wav,0.77603,0.68770,0.03127,0.49999,4.64158,0.81251,0.00000,7.44908,540.00000,0.00144,0.00127,0.00006,0.00093,0.00860,0.00150,0.00000,0.01379
test_all.wav,3.59581,2.45353,0.10937,1.96933,62.12552,6.68916,0.00000,76.94272,2188.89325,0.00164,0.00112,0.00005,0.00090,0.02838,0.00306,0.00000,0.03515
